site,severity,duration,start,end
9512500,1096.0,82,2018-10-10,2019-01-05
9512500,242.0,17,2019-01-18,2019-02-05
9512500,105.0,7,2019-02-08,2019-02-14
9512500,1707.0,136,2021-02-13,2021-07-03
9512500,145.0,8,2021-08-03,2021-08-10
9512500,142.0,8,2021-08-21,2021-08-28
9512500,4421.0,283,2021-09-05,2022-07-18
9512500,458.0,36,2022-08-30,2022-10-15
9512500,20.0,11,2022-10-23,2022-11-02
9512500,4.0,5,2022-11-12,2022-11-18
9512500,108.0,33,2022-11-22,2023-01-01
9512500,14.0,5,2023-01-08,2023-01-14
9504000,85.0,13,1989-03-13,1989-03-25
9504000,65.0,15,1989-04-03,1989-04-17
9504000,3708.0,226,1989-07-15,1990-03-05
9504000,7.0,6,1994-12-02,1994-12-10
9504000,8019.0,408,1996-01-15,1997-03-06
9504000,86.0,8,1997-03-26,1997-04-02
9504000,58.0,13,1997-08-19,1997-09-02
9504000,60.0,29,1999-03-07,1999-04-04
9504000,535.0,60,2000-01-07,2000-03-08
9504000,101.0,12,2000-07-25,2000-08-05
9504000,101.0,15,2000-08-11,2000-08-25
9504000,537.0,50,2000-09-02,2000-10-22
9504000,24.0,10,2001-09-01,2001-09-11
9504000,11004.0,480,2001-10-24,2003-03-01
9504000,85.0,9,2003-03-03,2003-03-11
9504000,26.0,12,2003-04-04,2003-04-15
9504000,3303.0,299,2003-04-21,2004-02-27
9504000,336.0,22,2004-03-09,2004-04-01
9504000,1219.0,156,2004-04-11,2004-09-19
9504000,19.0,6,2004-09-26,2004-10-02
9504000,2382.0,199,2006-02-13,2006-09-10
9504000,8273.0,435,2006-09-12,2007-11-30
9504000,107.0,20,2007-12-11,2008-01-03
9504000,1382.0,143,2009-08-19,2010-01-19
9504000,2279.0,198,2012-01-26,2012-08-21
9504000,71.0,11,2012-08-28,2012-09-11
9504000,1786.0,130,2012-09-16,2013-01-25
9504000,9.0,5,2013-04-05,2013-04-11
9504000,223.0,91,2013-04-16,2013-07-17
9504000,111.0,18,2013-07-31,2013-08-18
9504000,4.0,6,2014-03-25,2014-03-31
9504000,1082.0,146,2016-03-09,2016-08-06
9504000,247.0,18,2016-08-09,2016-09-01
9504000,669.0,98,2016-09-05,2016-12-21
9504000,4770.0,235,2017-12-24,2018-08-23
9504000,3070.0,152,2018-08-27,2019-02-02
9504000,3455.0,223,2020-12-22,2021-08-10
9504000,48.0,9,2021-08-23,2021-08-31
9504000,61.0,17,2021-09-06,2021-09-26
9504000,316.0,75,2021-10-03,2021-12-23
9504000,2153.0,169,2022-02-02,2022-07-26
9255000,30.0,11,1983-05-17,1983-05-27
9255000,293.0,24,1984-03-24,1984-04-16
9255000,182.0,22,1987-04-12,1987-05-03
9255000,2097.0,209,1987-05-20,1987-12-14
9255000,32.0,14,1988-02-27,1988-03-12
9255000,402.0,46,1988-03-29,1988-05-17
9255000,3997.0,295,1988-05-30,1989-03-20
9255000,8620.0,546,1989-05-25,1990-11-21
9255000,5.0,7,1991-02-28,1991-03-09
9255000,971.0,57,1991-04-03,1991-05-31
9255000,4.0,5,1991-12-02,1991-12-06
9255000,142.0,37,1992-01-22,1992-02-27
9255000,218.0,28,1992-05-20,1992-06-16
9255000,278.0,43,1993-02-22,1993-04-06
9255000,64.0,21,1994-04-19,1994-05-09
9255000,3806.0,244,1994-05-23,1995-01-21
9255000,508.0,37,1995-04-07,1995-05-13
