USGS_ID,Lat,Lon,region,D_5,D_10,D_20,D_50,D_100,S_5,S_10,S_20,S_50,S_100
9490500,33.712829,-110.211767,9-Southwest,50.0,88.0,130.0,191.0,239.0,1528.0,2345.0,3191.0,4338.0,5219.0
9494000,33.736441,-110.166767,9-Southwest,68.0,107.0,149.0,206.0,250.0,1380.0,2485.0,3849.0,6027.0,7945.0
9394500,34.782808,-110.044284,9-Southwest,47.0,81.0,118.0,172.0,214.0,730.0,1156.0,1625.0,2302.0,2849.0
9390500,34.179488,-109.987886,9-Southwest,53.0,81.0,109.0,148.0,179.0,1039.0,1588.0,2157.0,2928.0,3521.0
9492400,33.822272,-109.814541,9-Southwest,176.0,317.0,493.0,776.0,1026.0,984.0,1543.0,2131.0,2932.0,3554.0
9379200,36.943891,-109.710668,9-Southwest,36.0,53.0,70.0,94.0,112.0,557.0,842.0,1147.0,1577.0,1918.0
9447800,32.955618,-109.531188,9-Southwest,116.0,179.0,246.0,337.0,407.0,4765.0,9952.0,17249.0,30303.0,42955.0
9448500,32.868397,-109.511186,9-Southwest,68.0,107.0,148.0,205.0,249.0,1326.0,2142.0,3009.0,4205.0,5137.0
9182400,38.673871,-109.450117,9-Southwest,,,,,,,,,,
9447000,33.064506,-109.442298,9-Southwest,200.0,394.0,657.0,1114.0,1545.0,719.0,1248.0,1881.0,2864.0,3709.0
9386030,34.583646,-109.407047,9-Southwest,169.0,268.0,372.0,515.0,626.0,4330.0,8311.0,12953.0,19723.0,25173.0
9384000,34.314486,-109.362315,9-Southwest,41.0,62.0,85.0,116.0,141.0,830.0,1381.0,2019.0,2977.0,3784.0
9442000,32.965278,-109.308611,9-Southwest,,,,,,,,,,
9444200,33.290895,-109.196183,9-Southwest,,,,,,,,,,
9306500,39.978856,-109.178727,11-California and interior west,,,,,,,,,,
9372000,37.32416,-109.015666,9-Southwest,54.0,97.0,146.0,217.0,273.0,823.0,1348.0,1908.0,2685.0,3291.0
9169500,38.310268,-108.88538,9-Southwest,52.0,84.0,119.0,166.0,204.0,759.0,1345.0,2062.0,3198.0,4194.0
9444000,33.247167,-108.88,9-Southwest,74.0,120.0,170.0,240.0,294.0,2257.0,3747.0,5354.0,7587.0,9340.0
9432000,32.648132,-108.845891,9-Southwest,64.0,97.0,131.0,178.0,214.0,1111.0,1788.0,2508.0,3500.0,4269.0
9171100,38.356934,-108.833435,9-Southwest,40.0,64.0,90.0,127.0,156.0,3004.0,5265.0,8001.0,12289.0,16000.0
9442680,33.736719,-108.771175,9-Southwest,,,,,,,,,,
9386950,35.100278,-108.751667,9-Southwest,91.0,142.0,200.0,283.0,351.0,2374.0,3952.0,5767.0,8478.0,10738.0
9371000,37.027494,-108.741484,9-Southwest,67.0,107.0,152.0,217.0,272.0,1949.0,3405.0,5150.0,7856.0,10188.0
9177000,38.357212,-108.712875,9-Southwest,,,,,,,,,,
